"","first_name","last_name","height","weight","position","profile","strengths","weaknesses","player","bottom_line"
"61","Adonai","Mitchell","6'1”","205","Wide Receiver","Mitchell began his career at Georgia, where he won back-to- back national championships. In 2023, he transferred to Texas to be closer to his daughter. He is an alluring outside receiver. At 6-foot-4, he has more finesse than most bigger- bodied receivers — his releases are quick, his change of direction is fluid and his acceleration is smooth. His skill set puts a ton of stress on cornerbacks. He could attack the ball with more intensity, and his presence can be inconsistent, but he brings starting NFL ability to the table. He was a touchdown machine for Texas and Georgia, reaching the end zone 14 times across 18 starts over the past two seasons. ","Fast, fluid route runner for his size. Fast footwork for quick releases off the line. Effective shoulder dip when running by defenders. Understands the nuance of how to get open, especially deep. ","The shoulder dip to avoid contact in his route is good, but he needs to be more willing to chop defenders' hands away as well. Release speed is fast, but there are some false and wasted steps. He could do a better job of attacking the ball in the air. His body language and effort can be very different when he’s a primary receiver versus when he's not. ",NA,"Mitchell's fluidity at his size makes him a tough matchup, especially in the red zone. The biggest area of concern I have with him is that I wish he attacked the ball more when it was in the air. If he improves in that category, he has fringe WR1/WR2 abilities."
"62","Malik","Nabers","6'0”","200","Wide Receiver","It does not take long when watching Nabers' tape to see that he moves differently compared to even the best in college football. His ability to accelerate while changing direction gives him a very high ceiling as a separation specialist. Though the strength elements of the position are a bit of a concern, his feet are lightning-quick to get off press at the line of scrimmage. He could stand to be more aggressive at the catch point (fewer body catches), but if that and his catching through contact improve, he has everything else to be a very dangerous NFL receiver. ","Short-area explosiveness and control remind of an elite CB Footwork is lightning quick. He can get defenders turned around immediately off the snap Elite separation athleticism. Acceleration ability while changing direction is rare Is a consistent vertical threat from the outside or the slot ","Hands are too low at the snap and when getting into his route. He will often lose first contact because of it Could add even more nuance/manipulation in his routes. Relies on elite change-of-direction ability right now. Will be unstoppable if he can attack leverage/manipulate coverage with more subtlety Could attack the ball better in the air. Lets it come into his body too often ",NA,"Nabers' movement skills are rare, even at the NFL level. His ability to change direction yet continue to accelerate makes him an open-target specialist in the slot and on the outside. He has the kind of athleticism that demands a defense to know where he is at all times as a future WR1."
"63","Rome","Odunze","6'3”","212","Wide Receiver","Odunze, a former four-star recruit, was named the Nevada Gatorade Player of the Year in 2019. In addition to his football success, he won a state title in the 200-meter dash. His Washington tape is that of an alluring receiver prospect, one whose build and ability do not come around often. He checks the boxes for height, weight and arm length to play all three receiver positions. He does the same from an athletic standpoint. His route running is smooth for a player of his size, and his acceleration is equally impressive. He became a more reliable pass catcher through contact in 2023 and is comfortable hauling in throws away from his body. ","Excellent hands. Has a large catch radius and can fully extend for catches through contact Impressive ability to change speeds at his size and weight Good vertical ability. Has a nice final top gear to separate Versatile route runner who can execute simple and complex routes Reliable, willing blocker ","Little slower to flip his hips on comeback routes, but nothing glaring when taking into account his size Not a lot of yards after the catch, but that is likely more due to ball placement/routes than a lack of playmaking ability Hands are low in his release setup, which can make it easier for press defenders to get hands on him ",NA,"In an offense filled with future NFL players at the skill positions, Odunze was the best of the bunch. If he weren't in a class with Marvin Harrison Jr. and Malik Nabers, we would be talking about him as an easy WR1 and a player worthy of a top-10 pick, although the latter is still true for 2024."
"64","Ricky","Pearsall","6'1”","189","Wide Receiver","Pearsall, a three-star recruit, also played safety in high school. He started his career at Arizona State before transferring to Florida in 2022. He is a projected slot receiver, and his slot skill set is about as good as one could hope. He is savvy and nuanced in his route running, winning in so many ways with a diverse route tree. His feet are quick and elusive, which allows him to be more of a vertical threat than his straight-line speed alone could create. He is also a very reliable hands catcher. He doesn't have rare flexibility for change of direction, but he makes up for it with how he sets up defenders. ","Nuanced and savvy route runner — always uses head/shoulder fake to create a little bit more separation. Quick off the line with good releases. Tough receiver who has some great receptions through contact. ","Agility is a bit stiff for a player of his size with his projected role. Was a decent vertical threat at the college level but likely won’t be based off straight-line speed in the NFL — scheme could help him. ",NA,"Ultimately, Pearsall won't intimidate defenders on the line of scrimmage, but he will once the ball is snapped. He is a ready- made slot receiver who can contribute early in his NFL career."
"65","Ja'Lynn","Polk","6'1”","203","Wide Receiver","Polk has been a productive receiver since his high school days, stacking up with Dez Bryant and Keke Coutee on his high school's receiving records. He is a highly competitive player who will earn his spot on an NFL roster through tough catches, reliable hands and a willingness to be physical. He has shorter strides, which causes a lack of true top-gear speed, but his strides are explosive. His upright stance and low hands at the snaps might cause some issues getting off press coverage at the next level. Despite the lack of top gear, he can be an impactful vertical receiver due to how comfortable he is playing through contact. ","Reliable hands catcher — catches through contact well. Hands are active to fight off defenders at contact in press or when getting vertical. Willing blocker on run plays — does not take plays off. Good short-area explosiveness — nice acceleration off the line and at the breakpoint. ","Shorter stride length doesn't yield a fast top gear of speed for separation. Rounds his route more than true breaks. Narrow base out of his stance makes it more challenging to generate power and leverage to get off press. Hands are low in his stance, giving up his chest for press defenders to dictate contact. ",NA,"Polk is a limited route runner, but he is also one of the best ""go up and get it"" contested catch receivers in this class (and that is really saying something). His knack for making big plays should always get him on an NFL roster in some capacity."
"66","Brenden","Rice","6'2”","208","Wide Receiver","As the son of the most accomplished receiver in NFL history, Rice's football intelligence sets him apart from most of his peers. There is so much nuance to how he plays the position — much more than you'd expect, even for the more polished receiver prospects. He has a vast understanding of releases, route running and hand techniques. He is a smooth runner who can gain separation at all three levels of the field. He isn't the most dynamic athlete, so his NFL Combine testing will be big for his draft stock. He also brings special teams experience as a returner. ","Long strides make for decent long speed (former track sprinter). Very intelligent route runner. Impressive blocker — fundamentally sound and does not give up on blocks quickly. Long arms help with dictating and maintaining blocks. Active hands against press and tight coverage. ","Change of direction is more smooth than sudden. Long speed is adequate but doesn't appear to have a rare top gear. ",NA,"Rice's name will come with high expectations but in terms of how he plays the position, his ability to win as a route runner is better than most of the receivers in this class. His high football intelligence should enable him to be a high-floor player in the NFL."
"67","Tavyion","Robinson",NA,"191","Wide Receiver","Robinson is an explosive slot receiver who has decent nuance in his routes to create separation. His footwork is quick and explosive off the line of scrimmage with good potential for effective releases. Robinson is still working on his feel for being open when running through zone coverages. It is tough for him to get open once defenders get their hands on him. He has the body control to make good adjustments to the ball and decent strength for contested catches, but both are inconsistent. He had a drop issue in 2023. As a blocker, he is willing and fast to his keys but can often overshoot or fail to line them up properly. ","Quick, controlled and explosive athlete. Explosive footwork to get out of his stance. Good overall athleticism and body control. Has some nice nuance in his route by veering one way and exploding another. Decent strength for contested catches. ","Overaggressive when setting players up for blocks — gets there quickly but can overshoot defenders. Six drops in 2023. Long speed is limited (but he's a slot, so that's OK). Still developing a feel for getting open when running crossing routes through zones. Struggles to create space after defenders get their hands on him. ",NA,"Robinson is an NFL-caliber athlete for a slot receiver, but he is a very inconsistent player in a handful of categories. He is a nice draft-and-develop option for Day 3."
"68","Marcus","Jacksaint","6'1”","195","Wide Receiver","Rosemy-Jacksaint's first college score ended in disaster — a gruesome broken leg that sidelined him for 10 months. He then struggled to find consistent playing time at Georgia and didn't become a regular starter until his senior season, but that 2023 tape showed an effective player. He understands the nuances and angles of route running, and his technique allows him to execute comeback routes with precision. He also has some of the most reliable hands in the class, rarely letting the ball come into his body. He takes pride in blocking and special teams work. Unfortunately, he is without an NFL- level top gear and struggles to separate. ","Conscious with his hand usage to get off press coverage. Fundamentally sound in how he chops his feet and flips his hips for comeback routes. Long legs, long arms. Consistently gets the ball in the air. Not the strongest blocker due to size, but he takes pride in it. Great hands — Zero drops on 93 targets over the last two years. Intelligent player who understands nuances of route running, attacking leverage, boxing out for catches, etc. ","Doesn't have an NFL-level top gear. Lacks the twitch and explosiveness to create separation. Lacks the strength to create consistent separation with contact. Has a tough time getting off jams in versus press. ",NA,"Rosemy-Jacksaint lacks difference-making NFL athleticism, but he is a determined, intelligent player who can round out a receiver room with special teams experience to boot. Expect him to be a priority Day 3 depth player."
"69","Ainias","Smith","5'9”","190","Wide Receiver","Across more than 2,100 snaps in his college career, Smith played as a receiver, running back and punt returner for Texas A&M. His short-area explosiveness is better than his long speed, but that long speed should be enough for the NFL. He is always trying to set up defenders with head fakes, shoulder shimmies and hard cuts on his routes. He also brings a variety of releases with a good understanding of why and how they work. He won't be a jump-ball, contested-catch receiver, but his competitiveness can't be questioned. He was asked to block the likes of Chris Braswell and Harold Perkins but didn't back down. ","Consistent as a returner. Conscious suddenness to his game. Change of direction acceleration is above average. RB experience shows up immediately when he gets the ball. Variety of releases with a good understanding of why and how they work. Highly competitive player. Was asked to block the likes of Chris Braswell and Harold Perkins but didn't back down. ","A little stiff to truly change direction when running near full speed but at slower speeds, he can really flip the hips. Long speed may be average at best, so testing will be big for him there. Won't be a jump ball type of receiver. Short arms lend to a shorter catch radius. ",NA,"For teams looking for an underneath slot receiver who wins with suddenness, savviness and blocking while contributing on special teams, Smith will be a name on their list. That likely yields Day 2 value on draft weekend."
"70","Brian","Thomas Jr.","6'3”","209","Wide Receiver","Thomas is the kind of player every offense wants for their vertical passing game plans. As a former football and basketball star in high school, he is a big, tall and fast vertical threat who demands the defense to always be honest about his ability to get behind them. His footwork and flexibility are fast and fluid for a big man. From 2022-2023, his releases became more effective in creating separation. He is also a willing and competitive blocker. He posted a career-high catch percentage in 2023, and that needs to continue moving forward. ","Smooth, long strides with good top speed to consistently threaten vertically Much-improved technique and footwork on his releases in 2023 Willing and competitive blocker ","Not a lot of experience versus press Catch percentage was lower than preferred the past three years (though 2023 was his best) Not a ""make you miss"" type of receiver after the catch ",NA,"Thomas offers a good combination of size and speed to push the ball vertically down the sideline, demanding safeties stay rotated to his side. To truly unlock that kind of threat, he will need to show he can consistently beat press coverage. Offenses that like to push the ball will prioritize what he brings to the table in the top 50."
"71","Jamari","Thrash","6'0”","188","Wide Receiver","Thrash's college football journey began at Georgia State, where he now ranks fifth in team history in receiving yards (1,752), eighth in receptions (104) and tied for sixth in touchdown receptions (12). Thrash is a smooth vertical threat with a good understanding of angles and leverage to attack all sorts of coverage deployments. He has very nice separation scores, but he's not as explosive as some of his peers. Rather than win with twitch, he wins with nuance and subtleties, which is an art, given how often he plays near the sideline. He needs to improve his hands after dropping 16 passes over the past three seasons. ","Runs route with nuance — good manipulation of a defensive back's leverage and blind spot. Good all-around athlete — adequate levels of long speed, agility and acceleration. Pretty strong at the catch point. ","Eight drops in 2023 for a sub-90% catchable passes reception percentage — 16 dropped passes over the last three seasons. Smoother speed rather than true explosive acceleration. ",NA,"Thrash is a good all-around athlete who has a knack for setting defenders up to create subtle separation near the sideline. His combine scores will be important for him to stand out in a stacked receiver class."
"72","Devontez","Walker","6'2”","193","Wide Receiver","Walker has the makings of a game-changing NFL receiver. When he was at Kent State in 2022, he played against Washington, Oklahoma and Georgia to start the season and not only looked like he belonged but was the best player on the field, at times. He is incredibly explosive. He consistently catches with his hands and can snag grabs through contact. In 2023, his footwork wasn't as precise, but he was much better in 2022. His route running right now is based on him winning vertically. He needs to be more nuanced, diverse and precise if he wants to consistently get by NFL cornerbacks. ","Active hands on the line of scrimmage — uses both his hands and feet to effectively get off press coverage. Very impressive athlete who has NFL-level explosiveness and top speed. Hands catcher who understands the importance of extension. Strong contested-catch player. ","In 2023, his route running was not as crisp. He needs more refinement, but we saw that in 2022. 2023 did not show a polished player (again, 2022 did more). Limited snaps against legitimate competition. ",NA,"Walker is not a polished product, but at 6-foot-2 and 200 pounds, he has the footspeed and vertical ability to put a lot of stress on a defense to cover deep. Overall, this is an NFL athlete who has even more room to improve and has the potential to get picked in the top 60."
"73","Malik","Washington","5'9”","191","Wide Receiver","Washington was one of the most productive players in the country in 2023. He's small, and that has its disadvantages — he lacks natural strength and length for jump balls and blocking assignments. Nonetheless, his footwork is precise and sudden, which makes him an effective separation player from the slot, especially when finding soft spots in zone coverage. He has an excellent first step to chew up a defensive back's cushion. He also has an above-average ability to change direction yet maintain or regain speed. He does not have much experience against press coverage, so he is likely a slot-only receiver. ","Compact build with good strength/balance. Quick, controlled feet make for precise cuts and good suddenness. Consistently extends hands to the catch point. He has strong hands, too. ","Short arms make for a shorter catch radius. Shorter arms make it tougher for him to be an effective blocker against longer corners. Limited long speed. Will be tough for him to have a depth/special teams role with how ineffective he can be at blocking. ",NA,"Washington is a tough assignment in the slot due to how fast he accelerates and his ability to create separation with quick changes of direction. He is a slot-only type of receiver due to his lack of size and strength, but he is tough to cover."
"74","Tahj","Washington",NA,"174","Wide Receiver","Washington is a smaller receiver who projects to a slot/special teams role at the next level. He grew up as a multi-sport athlete, playing soccer and football in high school while also running/jumping on the track team. He brings that all-around athletic ability to the football field in a variety of ways. USC lined him up in the backfield, in the slot and even as an H-back, at times. He is a strong hands catcher and was his best in that area in 2023. Despite his size, he does not have elite change-of-direction ability or vertical speed. ","Smooth shoulder dip when running past defenders in shallow zones. Strong hands catcher, especially in 2023. Has ample special teams experience over the past two seasons. USC used him all over; slot, flanker, H-back, running back. ","Makes Jordan Addison look big. Does not have the Tank-Dell-like change-of-direction ability for a player of similar size. Very limited experience and effectiveness versus press (slot-only type). Willing blocker but not an effective one. ",NA,"Washington's size will likely limit his playing time at the next level, but he could be an ideal WR4/5 as a nice depth piece and slot receiver on offense in addition to a return man/punt coverage gunner on special teams."
"75","Jordan","Whittington","6'1”","205","Wide Receiver","Much of Whittington's college career was hampered by injuries: a torn groin his first year, a torn meniscus his second year and a broken clavicle his third year. He stayed healthy the past two seasons, and when on the field, he showed he's an all-around, balanced athlete. Unfortunately, it does appear injuries have impacted his explosiveness vertically and laterally, but they haven't taken away all of his ability. His best work comes from the slot, where he can create throwing windows that allow him to gain yards after the catch. ","Explosive and athletic posture in his pre-snap stance, which allows him to generate a ton of power in his first step. Willing blocker. Good yards-after-contact kind of player (RB background). ","Stiff in his lateral movements when running routes — limited route tree. Limited long speed to threaten vertically and create separation with speed. Willing blocker but a little inconsistent. ",NA,"He projects as a slot receiver at the NFL level, one with a thicker build for yards after the catch and contact. Unfortunately, he has an extensive injury history, which may go into his limited athletic profile when stacked up against players at the NFL level. Nonetheless, he has been healthy the last two seasons and can be a versatile depth player at the next level."
"76","Isaiah","Williams","5'9”","182","Wide Receiver","Williams' scouting report starts with his devastating quickness. He is explosive and controlled in his movements, especially in his releases off the line of scrimmage. He can also change up his release speed to put cornerbacks in tough spots. His explosiveness allows him to create separation without contact and even through contact. He has great body control to make tough adjustments for catches. Williams' lack of size affects both his blocking and tackle-breaking potential, and his shorter arms and smaller hands limit his catch radius. ","Releases are precise. Knows how to stop quickly and create separation after defenders get hands on him. Very impressive body control for acrobatic catches and in-air adjustments. Quick acceleration but limited long speed. ","Feisty but won’t be a blocking weapon, given his size. Contested catches can be there but are tough with his size. Limited catch radius with smaller arms and hands. Has a tough time breaking tackles. Isn't as much of a ""make you miss"" playmaker as he could be after the catch. ",NA,"Williams is a specific type of small slot receiver, but one whose quickness can make him a tough speed matchup against slower nickel defenders. He has WR4/5 potential."
"77","Johnny","Wilson","6'6”","231","Wide Receiver","Wilson is a very intriguing prospect due to his coordination and athleticism for his size (both height and weight). He doesn't show a lack of balance, poor footwork or a lack of fluidity — even his change of direction is good relative to his size. He has a massive catch radius, which he has used often to his advantage. But his hands — both with and without contact — need to be more reliable. If he can show more fire and focus at the catch point, he can be an impactful receiver, especially in the red zone. ","Size is obviously a massive advantage for him. Pterodactyl catch radius. Much more coordinated, balanced and explosive than most receivers who measure in above 6-foot-6. Typically catches the ball with extended hands away from the body. Where agility is compromised due to size, he does have nice acceleration out of breaks. ","Has some frustrating drops. Could stand to attack the ball in the air with more determination. Needs better hand placement as a blocker. Hand usage could be better when working off contact early contact/press and trying to create a separation at the catch point. Has some expected lack of wiggle/change-of-direction flexibility due to his size, but for his size, it's actually not bad at all. ",NA,"It's hard to watch Wilson's tape and not be intrigued enough to take him at the back end of Day 2. He has some frustrating drops, but there is so much more to like, which is rooted in how well he moves for a player of his size."
"78","Roman","Wilson","6'3”","212","Wide Receiver","Wilson was born with speed in his DNA. His mother was a track star in high school, setting school and state records. Wilson himself ran a 4.37-second 40-yard dash in high school. So it goes without saying he is one of the class' fastest receivers. Before he became a full-time starter, Michigan used him to stretch the field. He earned a receiver threat rate of over 20% in three consecutive seasons. Defenses have to pay attention to him when he is on the field. Despite his small size, he brings good strength as a receiver and a blocker. He's not as agile as he is explosive but still projects well in a slot role for a vertical passing attack. ","Gets upfield very quickly via athleticism and no wasted movement out of his stance. Effective vertical speed. Willing and strong blocker. Expanded release repertoire in 2023. Reliable hands catcher, even through contact. ","Lateral movements are not as impressive as linear movements. Short catch radius. Difficulty getting off contact when he gets downfield. ",NA,"In a different receiver class, Wilson would be much higher on these rankings. He not only brings NFL-level speed but also NFL-level determination at the catch point and when blocking. His tape shows a player coaches would love to have."
"79","Xavier","Worthy",NA,"165","Wide Receiver","Worthy has difference-making NFL speed. He got off to a hot start at Texas, owning about every freshman receiving record in the Longhorns' record book. He's not just a straight-line sprinter — his footwork, acceleration, one-cut burst and vertical speed must be accounted for on every play. However, his play strength is a concern, as he does not fight off contact well and can get locked up against press coverage. ","Functional NFL speed, not just a straight-line sprinter. He can vary his speeds to still be an efficient route runner while operating at high speeds. Elite vertical threat. Elite explosiveness and acceleration when changing direction. Good deep tracking ability — can adjust when ball placement goes awry. Lightning quick footwork when releasing off the LOS. ","Struggles to separate again physical coverage. Can get locked up against good press corner who gets their hands on him early (got locked up by Tre'Vius Hodges-Tomlinson). Does not use his hands to fight off defenders when he attempts to run by them vertically. Strength is a consistent concern with his game, especially in regards to his catch reliability. ",NA,"Worthy must be identified pre-snap in all situations due to how easily he can take a pass to the house if not accounted for. If he can get stronger and learn to be a better hand fighter with defenders, he can be an impact pass catcher as a WR2/3."
"80","Erick","All","6'4”","252","Tight End","All is an all-around tight end prospect. He is a willing move blocker who is often detached from the line of scrimmage to lead, get to the second level or perform split-zone blocking responsibilities. He brings blocking fundamentals and good hand usage, though he could display more of a finisher's mentality. He understands how to use leverage and angles to wall off defenders without holding. He has big hands, although he did have frustrating drops in college. All is a better athlete than he gets credit for, as his change-of- direction fluidity yielded high separation rates in 2023. He also showcases good balance for yards after the catch. ","Willing blocker with a good understanding of leverage and angles to wall players off without holding. Conscious hand usage and placement to initiate and hold blocks. Functional movement skills for blocking and receiving. Has nice change of direction. Able to flip his hips well for a big receiver (high separation rates). Big hands that measure above 10 inches. ","Routes can look slow at times, but that doesn't stem from a lack of explosiveness — just inconsistency. Could use more nastiness when blocking. He has shown it, so we know it's there. Limited game action over the past two years due to injury. ",NA,"All could use a bit more nastiness in his game, but this is a player with a versatile, contributing skill set who projects as a TE2 at the next level if he can stay healthy."
"81","AJ","Barner","6'6”","251","Tight End","Barner has been a late bloomer throughout his football career, culminating in a career year in 2023. In 2022, he was slow off the line of scrimmage and in his routes. This past season showed a quicker, more explosive version of himself, though one that is still below average for the NFL. His calling card is blocking. His best work comes from an inline or wingback position, where he can push people around. He takes pride in his blocking, as he's constantly looking for work and has excellent grip and core strength to maintain blocks. He can erase secondary players near the line of scrimmage, and he can even push defensive ends around, at times. ","Strong blocker. Has the grip and core strength to maintain blocks and wall defenders off. Height and strength make high-pointing passes one of his strengths as a receiver. Impactful split-zone blocker. Improved release speed and versatility in 2023. ","Below-average athlete in all facets. Very slow to change direction in his routes. ",NA,"Though Barner won't give you much in the receiving game, he is an ideal TE2/3 for a team that likes to run heavy formations."
"82","Jaheim","Bell","6'2”","241","Tight End","Bell is a ""tweener"" for the tight end position but brings versatility as an offensive weapon with experience at inline tight end, wingback, running back and wide receiver. He has solid overall athleticism, with top speed and balance being his best traits. While his routes are good for a tight end, they are still rounded and don't create much separation against single coverage. He is also still finding a feel for zone coverage, too often simply running his route instead of speeding up or slowing down for space. Bell brings nice pop at contact as a blocker but does not maintain blocks consistently. ","Versatile football background. Played receiver in high school and running back in college, in addition to tight end. Can be a legit receiving option as a wingback, fullback or running back. Good vision for space as a RB and yards-after-the-catch receiver. Good balance for yards after contact. Hands are 10-plus inches. ","Size puts him in between positions. Smaller for a tight end, big for a running back. Brings pop at contact when blocking but doesn't maintain blocks well. Doesn't always have the best feel for zone coverage. ",NA,"Bell is an easy roster depth piece because of how many roles he can play, but he needs to find a better feel for zone coverage as a receiver and must maintain blocks better."
"83","Brock","Bowers","6'3”","243","Tight End","Bowers is one of the most well-rounded tight end prospects to ever enter the NFL. At Georgia, he was the SEC's Freshman of the Year. In both his sophomore and junior seasons, he was an All-American and the John Mackey Award winner (nation's top tight end). His build-up speed is good for the NFL, which is why he has elite after-the-catch ability. He has some of the strongest hands you'll see for a tight end. As a blocker, he might be the strongest pound-for-pound tight end you'll find. His versatility allows him to be an elite pre-snap movement piece, as defenses have to account for where he is at all times and in all formations. ","Even (and extensive) snap experience between inline and slot — ultimate chess piece as a pre-snap motion player. Pound for pound a powerful and reliable run blocker — great lead blocker on split zone concepts and counters. Blocking ability in space is fundamentally sound and reliable. Impressive after-catch ability due to his balance and yards after contact. He’s also a contested-catch machine. Change of direction is solid. Good build-up top speed. ","A little stiff when it comes to cuts in his routes — this explains his low separation percentage against single coverage. Route tree could be somewhat limited. Build up speed rather than twitched explosiveness, but the build- up is fast. ",NA,"Outside of being on the smaller side, Bowers is a dream tight end prospect who can be an impact player in the slot, out wide and inline. Add in his reliable blocking ability on the line and in space, and you have an ultimate chess piece offensive weapon with All-Pro potential."
"84","Dallin","Holker","6'3”","241","Tight End","Holker will be one of the older prospects in the class. He started his football career at BYU and transferred to Colorado State in 2023. Though smaller for the position, listed at 6- foot-4 and 235 pounds, he is a well-rounded athlete. He has a good first step and decent build-up speed to be a consistent vertical threat, especially over the middle. He displays strong hands for making contested catches over the middle. He isn't a twitched-up athlete, so his routes are very rounded, which affects his separation potential. While he is a patient and fundamentally sound blocker, his lack of weight shows up against bigger front-seven players. ","Natural mover — not an elite athlete but is a well-rounded one. Conscious to always attack defenders square between the shoulders when blocking. Has some tough catches up the seam and over the middle ","Lack of twitch and change-of-direction flexibility limits his route- running ability. Routes breaks are very rounded rather than hard cuts. Fundamentally sound blocker but not an imposing one (lower weight profile goes into that) ",NA,"Holker is a well-rounded, versatile tight end who can be a good depth piece to pay in multi-tight end offenses, but he likely lacks the top-tier athleticism to be a TE1."
"85","Theo","Johnson","6'6”","259","Tight End","Johnson brings plus size to the tight end position, ranking above the 70th percentile in height and weight. His long arms are an advantage when he is blocking edge rushers and hauling in passes. He has decent build-up and long speed when getting vertical up the seam, but he lacks the difference-making change-of-direction ability, which limits his route tree. He makes his money from an inline spot as a versatile blocker and pass catcher in heavier formations. He is a strong blocker when he targets defenders between the shoulders, but he can sometimes get crossed up (another area where his limited lateral ability shows). ","Arm length is a big plus when blocking — can match up length- wise with edge players and outreach defensive backs. Size is a big plus for him — big catch radius due to his long arms. Decent build-up and top speed for a player of his size. Built for in-line play. ","Lateral movements and change of direction are below average due to size. Lack of change of direction flexibility limits route tree. ",NA,"Johnson brings alluring size to the position with plus length for blocking and when hauling in passes. He is a developmental tight end who shows runs good vertical routes and thrives when blocking, but he needs to be more consistent in both areas."
"86","Tanner","McLachlan","6'5”","244","Tight End","McLachlan played wide receiver in high school back in Alberta, Canada, and that receiver background is evident in his tape. He will likely be a big slot receiver at the next level due to a lack of weight/blocking profile. He cannot be an inline tight end in his current state due to inconsistencies as a blocker. His acceleration and top speed are smooth and impressive for a player of his size. He also turns into a good playmaker after the catch with a mentality for extra yards through speed or contact. ","Smooth athlete for his size. Impressive acceleration to generate yards after the catch. Turns into a playmaker after the catch. ","Blocking consistency is lacking from fundamentals to power. Head dips and confidence fades when approaching blocks. Short arms despite being taller. ",NA,"McLachlan is a good athlete for his size to get an opportunity as a big slot receiver, but his lack of blocking profile makes him a liability inline in his current state."
"87","Tip","Reiman","6'5”","271","Tight End","Reiman has the body of an NFL tight end. He was a zero-star recruit who played both linebacker and tight end in high school and opted to walk on to Illinois as a tight end. He is well above the 50th percentile in size, but he carries it well. Reiman can push people as a run blocker, but he struggles to line guys up and has a bad tendency to lunge when blocking in space. His feet, hands and balance are all reliable in pass protection. While he doesn't have the suddenness for a diverse route tree/heavy usage in the passing game, his explosiveness can make him a good vertical option in heavy- tight end formations. ","A linear athlete who moves well for his size despite subpar change of direction. Has the strength to sled-push defenders when he gets them between his shoulders. Brings necessary straight-line build-up speed to be a vertical option. Impressive grip strength and balance for sustained blocks in pass protection. ","Is often not square and instead lunges to block in space. Likely not sudden enough in change of direction to be more than a heavy-personnel secondary tight end. Not as reliable in contested-catch situations as expected. ",NA,"Reiman is a throwback tight end with size and physicality. He is limited as a lateral athlete but has the potential to be a TE2 in an NFL offense that likes bigger tight ends."
"88","Ja'Tavion","Sanders","6'4”","245","Tight End","Sanders, a former five-star recruit, looks like a super-sized athlete. Coming mostly from an inline or wing-back position, he is a constant vertical threat and a mismatch for most linebackers in coverage. His hands are reliable, as he did not drop a single pass in 2023. His explosive movement skills allow him to run routes like a receiver. If he wasn't on a team that also included Adonai Mitchell, Xavier Worthy and Jordan Whittington, he could've easily been a 1,000-yard receiver. He possesses all the tools to be an impact blocker, as well. His tape does include snaps where he lacks the necessary blocking physicality against smaller players. ","True athlete for the position, as his long speed, acceleration and change of direction are all All-Pro caliber. He moves like a giant wide receiver — can run any route. Has the intangibles to be a good blocker but just isn't physical enough at times. A lot of his snaps came from inline, which made him a very tough seam and vertical matchup for defenses. ","I wish he approached blocking with more violence (did improve in 2023). Still a bit clunky with some of the nuances for the position (footwork as a split zone blocker, lining up defenders in space). ",NA,"Sanders is a Tier 1 athlete for the tight end position. He is still mastering the nuances of tight end play, and he needs more of a mean streak consistently as a blocker. However, even with those concerns, what he brings to the table as a vertical threat is worth a top-50 pick."
"89","Ben","Sinnott","6'4”","250","Tight End","Sinnott chose to go the walk-on route at Kansas State after playing defensive end and tight end in high school. He was one of the team's most versatile players over the past two years, lining up in the backfield, inline and in the slot. He is quick, which is not an adjective used often for tight ends. His foot speed allows him to accelerate and speedily change directions. While he is a willing blocker, defensive ends can overpower him. He is tough at the catch point but has shorter arms, which hinders his catching ability. His catch rate could also be higher. One would think he could excel on special teams, but he does not have that experience. ","Quick athlete, which is not common for tight ends. Versatile movement skills that allow him to be effective in the slot, inline and out of the backfield. Fast split-zone and lead blocker. Not the strongest but a willing blocker. ","Can get overpowered somewhat easily by bigger defensive ends. Hands are fine but not a major plus. Struggles to get off press coverage. Seems to have shorter arms, which shows up at the catch point and when blocking longer pass-rushers. Surprisingly lacks special teams experience. ",NA,"Sinnot is a true jack-of-all-trades tight end who can line up in the backfield, on the line of scrimmage and at reciever. His game lacks a true trump card, but he's the type of football player every NFL team wants in their tight end room as a versatile role player."
"90","Brevynn","Ford","6'7”","260","Tight End","Spann-Ford is a massive tight end prospect who was a two- year starter for Minnesota. His size can be overwhelming for defensive backs to cover when he is off the line of scrimmage. However, he doesn't move in a way where he can be relied upon there often. He has the build of an inline tight end, but his blocking remains inconsistent. He will go for crushing blocks and whiff quicker defenders too often. He doesn't doesn't pack as much of a punch at contact as you would expect. ","Big, imposing frame. Large catch radius. When he gets to the second level, he can overwhelm some lighter linebackers and defensive backs when blocking. ","Size should make blocking his calling card, but he is not as physical as he needs to be. Does not pack a punch on contact for blocking. Goes for big blocks too often, which yields whiffs. ",NA,"Spann-Ford's unique size will be his biggest asset to making an NFL roster, but his game right now is of a depth or practice squad player."
