"","position","name","college","overview","bottom_line"
"40","WR","Dylan Cantrell","Texas Tech","Knows how to leverage cornerbacks in order to create separation in short and intermediate game. Had nine drops on 158 catchable passes in his career. Forced 21 missed tackles on 149 career receptions. Averaged only 4.6 YAC/reception in his career. Good acceleration with the ball in his hands and coming out of his breaks. Attacks the ball in the air. Caught 44.4 percent of his contested targets and tied for the 8th-most contested targets in the nation with 36. Caught only 20.0 percent of his deep targets, tied for 260th in the nation.","While Cantrell’s size and athleticism make him an intriguing receiver, his tape suggests he’s more of a possession receiver. He has some nuance to his route running and he uses his frame and strong hands to win at the catch point. Cantrell may never develop into a downfield threat, he has potential to work as a possession type while trying to tap into his athleticism and acceleration after the catch."
"41","WR","Dj Chark","Lsu","Speed. Ran 4.34 at the NFL Combine and it shows up on the field. Second gear allows him to separate down the field. Ranked 6th in the nation with 572 yards on deep passes in 2017. Caught six deep passes for 237 yards in 2016. Shows good ball skills at the catch point and caught 67 percent of his contested catches, 2nd-best in the nation among wide receivers. Only dropped five out of 76 catchable passes in his career. Adjusts well to off-target throws. Can be a big-play weapon when running the vertical route tree. Struggles to use leverage to set up cornerbacks. Only forced three missed tackles on 71 career receptions. Struggled in 1-on-1s during Senior Bowl practice.","While Chark’s speed makes him a legit deep threat, it’s his length and ball skills make him a downfield weapon even if it’s not based on speed alone. He’s not the most polished route runner and he may never be a high-volume op- tion, but he adds an outside vertical presence as one of the best deep receivers in the draft."
"42","WR","Keke Coutee","Texas Tech","Good combination of speed and quickness that shows up on the field. Ranked second in the nation with 1,088 receiving yards from the slot. Caught 66.7 percent of his deep targets, fourth-best in the nation. Ranked second in the draft class with a WR Rating of 139.7. Ranked eighth in the nation with 542 yards on deep passes despite tying for 114th with only 18 deep targets. Averaged 8.5 yards after the catch per reception and forced 39 missed tackles on his 160 catches over the last three years. Dropped 17 passes on 177 catchable targets in his career. Has value on ‘gadget’ plays at the next level, though only given eight career rushing attempts. Caught only three of 15 contested catch opportunities.","There’s a role for Coutee in the slot at the next level, where he’ll be more than just a quick receiver capable of winning in the underneath game. His speed and body control make him a vertical threat, and a creative team may be able to maximize his value on jet sweeps and other ‘space’ plays. His lack of size can be an issue on the outside, but Coutee’s speed and quickness make him a weapon at the next level."
"43","WR","Michael Gallup","Csu","Ranked 15th in yards per route in 2017 (3.18) and second in 2016 (4.34). Gained 250 yards on screen passes in 2017, 3rd-most among FBS WRs. Faced press coverage on 64 of his targets in 2017, most among FBS WRs. Caught 30 of those 64 targets for 568 yards (8.8 yards/target). Smooth route runner and uses his hands well both against press and at the catch point. Good acceleration allows him to eat up cushion on cornerbacks. Good feel for making defenders miss in the open field and forced 38 misses on his 179 catches the last two seasons. Caught only 31.3 percent of his deep targets last season (171st in nation) after catching 38.5 percent in 2016. Dropped only 12 of 191 catchable targets over the last two seasons. Had a strong week at the Senior Bowl, grading well during team drills and in the game itself.","In a wide receiver class that lacks true top-10 overall talent, Gallup may be the best all-around option. He has the speed to make plays down the field and his feel for route-running and making defenders miss after the catch make him a threat at the short and intermediate levels. Gallup’s two-year production is as good as it gets in the class and when combined with his physical tools, he should be one of the top wide receivers off the board."
"44","WR","Davon Grayson","Ecu","Tracks the ball well in the air. Adjusts to throws. Physical at the catch point. Uses his hands to separate at the top of routes. Shows good toughness catching the ball over the middle of the field. Caught 50 percent of his contested catch opportunities (15-for-30). Good vision and feel after the catch. Averaged 5.1 YAC/reception in this three years. Attacks the ball in the air. Dropped 11 passes on 128 catchable career targets. Caught only 39.3 of his deep targets in 2017, tied for 109th in the nation.","Grayson has only one year of strong production and grading, but he did a fine job last year showing physicality with the ball in the air and after the catch. He doesn’t have the speed to challenge cornerbacks down the field but could develop into a useful possession receiver with his ability to catch the ball in traffic and adjust to back-shoulder throws."
"45","WR","Daesean Hamilton","Penn State","Led all FBS receivers with a deep catch rate of 73.3 percent in 2017. Gained 845 yards from the slot last season, 8th-most among FBS WRs. Attacks the ball in the air. Caught 61 percent of contested targets, 22nd- best in the nation. Savvy route runner. Varies the speed of his routes and knows how to set up defenders. Uses his hands well down the field to create late separation. Understands timing of route concepts and how to work off other WRs. Excellent week of practice of the Senior Bowl, where he ranked third among wide receivers in 1-on-1 PFF grading. Dropped 25 passes on 253 catchable passes in his career. Played 3,149 snaps in his four years at Penn State (787 per season).","Hamilton had a productive career at Penn State, with a slight lull in his num- bers in 2015 and 2016. He’s a nuanced route-runner who developed into a big-play threat from the slot for Penn State, a role he could fill at the next level, perhaps in the mold of Atlanta Falcons wide receiver Mohamed Sanu. He may top out as a No. 3 option, but he can be productive in that role given his feel for the game and ability to make plays at the catch point."
"46","WR","Christian Kirk","Texas A&M","Averaged 2.51 yards per route from the slot, 7th-best in the draft class. Dropped 18 of 251 catchable targets in his career. Forced 35 missed tackles on 233 career catches. Good straight-line speed. Works hard to get on top of defensive backs on vertical routes and it creates big-play opportunities. Creates big plays more with speed than quicks. Accelerates out of his routes allowing him to separate at the top of the stem. Adds punt return value with six career returns for touchdowns. Lined up on the outside on 21 times in 2017 Can be used in jet sweep game","Kirk may not be as good as some of the hype, but he’s an explosive playmaker with an excellent combination of speed and quickness. He’s does most of his damage with his straight-line speed and he can stretch the field from the slot in a vertical offense. He adds special teams value as well as the ability to make plays on gadget plays. Kirk is yet another playmaking slot receiver in this draft class."
"47","WR","Jordan Lasley","Ucla","Caught 54.2 percent of contested targets (13-for-24). Caught 50.0 percent of his deep targets last season, tied for 31st in the nation. Dropped 19 passes on 131 career catchable targets. Ranked 334th out of 369 qualifiers in drop rate in 2017. Adjusts well to off-target throws and back-shoulder fades. Solid after the catch. Forced 22 missed tackles on only 112 career receptions. Good route runner. Can do damage in the slot, as he runs horizontal routes well when given a two-way go. Knows how to leverage defenders in 1-on-1 coverage, both at the intermediate level and down the field.","Lasley has the skillset to do damage both in the slot and on the outside, but he must do a better job of catching the ball in order to make an impact at the next level. His tape is filled with strong routes in which he wins all over the field, but also far too many easy drops. Lasley could be one of the bigger boom-or- bust prospects in this draft class."
"48","WR","Allen Lazard","Iowa State","Caught 39.5 percent of contested catch opportunities and 2017 and led the nation with 43 attempts. Will make impressive plays in tight situations but should be able to use his long frame more consistently. Long-strider with buildup speed. Not particularly quick off the line of scrimmage. Will need to rely on using his body, as he does not consistently separate against man coverage. Uses his hands well to get off press coverage. Not a dynamic threat after the catch. Forced only 17 missed tackles on 243 career receptions. Dropped 30 passes on 273 career targets in his career.","Like many receivers in the 6-foot-5 range, Lazard can be a contributor in the possession game, though he may never be a consistent downfield or after-the- catch threat. He uses his big body to win in contested situations, but he could stand to improve his ability to make plays on off-target throws. While Lazard may never separate well enough to become a high-volume receiver; he has a role as a potential big-bodied mismatch option."
"49","WR","Anthony Miller","Memphis","Three straight years of excellent production at Memphis. Ranked 15th in the nation in yards per route in 2016 (3.22) and ranked ninth in 2017 (3.47). Has the speed to run by defenders when given a free release. Has the quickness and route-running ability to win from the slot. Ranked sixth in yards per route from the slot at 3.43. Nifty after the catch. Forced 19 missed tackles on 96 catches last season and forced an impressive 18 misses on only 47 catches in 2015. Averaged 6.9 yards after the catch per reception in his three years. Led the nation with 288 yards on screen passes. Showed impressive skills on contested targets and tied for the national lead with six touchdowns in such situations. Drops have been an issue as he has 21 on his 212 catchable targets the past two years.","Miller is one of the few receivers in the class capable of winning both on the outside and in the slot. He has excellent quickness and route-running ability, allowing him to get open and make defenders miss after the catch, but he’s also capable of making tight-window, highlight-reel catches. Much like Sterling Shepard of the New York Giants, Miller may find most of his NFL production in the slot, but he his speed and quickness could also be a weapon on the outside."
"50","WR","D.j. Moore","Maryland","Targeted on 36 percent of his routes, 3rd-most among draft-eligible WRs and was targeted 131 times, 6th-most among draft-eligible WRs. Ranked 16th among draft-eligible receivers with 2.78 yards per route. Caught only 38.5 percent of his contested targets, but still had plenty of highlight-reel, downfield catches on film. Excellent acceleration, both in his routes and with the ball in his hands. Catches the ball and flies up field, especially on screens. Averaged 7.0 yards after the catch per reception in his career. Forced 39 missed tackles on 146 career receptions. Dropped 15 passes on 161 catchable targets in his career. Did most of his damage on the outside at Maryland, but has the skillset to produce from the slot at the next level. Shows the toughness to make plays in the middle of the field.","Moore’s speed and quickness make him a weapon as a route runner and after the catch, where he tenaciously gets up the field as soon as he catches the ball. He has the toughness to work the middle of the field, and despite inconsis- tency at the catch point, he’s willing to go up and make plays in traffic and he came down with his fair share. Moore could do damage both outside or in the slot, but taking advantage of his after-the-catch skills should be in the cards regardless of alignment."
"51","WR","J’mon Moore","Missouri","Caught 57.9 percent of contested targets, 29th-best in the nation. Adjusts well to off-target throws. Uses his frame well down the field. Caught 43.5 percent of his deep targets last season, tied for 75th in the nation. Ran limited route tree in Missouri offense. Long strides and solid straight-line speed. Gets on cornerbacks in a hurry. Solid showing after the catching in 2017, forcing 14 missed tackles on 66 catches and averaging 6.5 yards after the catch per reception. Dropped 24-of-173 catchable targets in his career. Had a good showing during the week of practice at the Senior Bowl. Ranked fourth among receivers in PFF 1-on-1 grading.","Like many receivers coming out of the ‘Baylor’ system that Missouri runs, Moore will have to adjust the NFL’s more intricate route tree. He has good straight-line speed, allowing him to gain ground into the secondary and he has a knack for using his body to secure downfield throws. He has some work to do in the short and intermediate game, but Moore could have value as a potential deep threat while he develops the rest of his game."
"52","WR","Dante Pettis","Washington","Dropped only three of his 64 catchable targets, good for a drop rate of 4.69 that ranked 13th in the nation in 2017. Smooth route runner. Sharp in and out of his cuts. Uses hands to separate at the top of routes. Nifty footwork to get off press coverage. Sure-handed. Dropped only seven passes on 169 catchable targets during his four-year career. Outstanding punt returner. Set NCAA career mark with nine touchdown returns for touchdowns. Athleticism doesn’t always show up down to down on the field.","Pettis has a good feel for the game, whether getting off press, separating at the top of routes, or finding holes in zones. He adds punt return value af- ter a record-breaking career at Washington, and he fits in as a dependable, sure-handed option who can work on the outside or in the slot. He may never develop into a big-play threat down the field, but Pettis is a solid complementa- ry option to a receiving corps that has other vertical threats."
"53","WR","Cam Phillips","Virginia Tech","Dropped only two of his 73 catchable passes in 2017. Only dropped 10 passes on 245 catchable targets in his four-year career. Caught only 34.8 percent of contested targets. Caught 43.5 percent of his deep targets last season, tied for 75th in the nation. Many of his downfield plays were manufactured by scheme. Inconsistent getting off press coverage. Will flash good footwork, but still gets tied up with cornerbacks far too often. Lacks great straight-line speed. Forced 40 missed tackles on 235 career catches.","There’s not much that stands out as special to Phillips’ game. He’s not a burner, inconsistent at getting off press coverage, and below-average in contested situations. However, he did improve every year at Virginia Tech and he’s sure-handed, and there are enough intriguing plays on tape to warrant a look in the late rounds. Right now, Phillips is more in line with a backup receiver capable of producing in the possession game."
"54","WR","Trey Quinn","Smu","Led all FBS wide receivers with 4.66 yards per route run from the slot. Had the lowest drop rate in the nation among receivers with at least 100 targets in 2017, dropping only two of 116 catchable passes (1.72 percent). Caught 60.0 percent of his deep targets, tied for eighth among FBS wide receivers. Lacks top-end speed and athleticism Shows toughness both at the catch point and after the catch. Efficient footwork allows him to create separation, especially when given a two-way go in the slot. Solid catch radius and body control. Caught 57.1 percent of contested catch opportunities. Good feel for getting open against zone.","Quinn doesn’t possess the speed to be a deep threat on the outside, but he’s a good ‘feel’ player who can find a home in the possession game at the next level. He has some subtlety to his short-area route running and he has a good feel for getting open against zones and feeling defenders after the catch. While he’s not a dynamic athlete, it would not surprise to see Quinn’s route running, dependable hands, and feel for the game lead to a productive career."
"55","WR","Calvin Ridley","Alabama","Excellent speed makes him a big-play threat. Accelerates off the line and gets to second gear very quickly. Attacks off-corners in a hurry, allowing him to get on top of them for deep routes or open up the underneath route tree. Explosive route-runner who maintains his speed in and out of breaks. Dropped 23 out of 247 catchable passes in his three years at Alabama. Career drop rate of 9.3% would have ranked 193rd in the nation in 2017. Production limited in run-first Alabama scheme. Averaged 45.1 yards per catch on deep passes, sixth-best among draft- eligible receivers. Took a step back in the screen game last year, gaining only 40 yards on 10 receptions, after tying for third in the nation with 3 TDs on screens in ‘16. Age will always be a question. At 23 years old, is he just a man among boys in college football?","Few receivers possess the downfield speed and route running that Ridley displays on a weekly basis, it’s just unfortunate that we didn’t get to see it play out in a pass-heavy offense. He gets on defensive backs in a hurry and his crisp route-running makes him a threat in the short and intermediate game. Ridley is a potential deep threat on the outside who must be accounted for by oppos- ing defenses, and outside of the age question mark and a high percentage of drops, he looks like one of the top receivers in the draft."
"56","WR","Jaleel Scott","New Mexico St.","Caught 55.9 percent of his deep targets, 14th-best in the nation. Ranked 7th in the nation with 326 yards in contested situations. Long frame and catch radius combines with excellent body control to create tape littered with incredible catches. Struggled during week of Senior Bowl practice, winning only 27 percent of 1-on-1 reps. Dropped 10 of 180 catchable targets in his two-year career. Provides little after the catch. Forced only six missed tackles on 99 career catches. Averaged only 2.8 yards after the catch per reception in career.","Scott has plenty of outstanding plays on his tape, but he struggles to consis- tently create separation. His struggles were highlighted during the week at the Senior Bowl, but there’s still a role for Scott at the next level if paired with a quarterback willing to give him tight-window opportunities. His size, frame, and body control make him a viable red-zone threat, but his every-down value is a question mark."
"57","WR","Tre’quan Smith","Ucf","Caught 70.84 percent of his deep targets, second-best in the nation. Led all FBS receivers with nine touchdowns on deep passes. 55.4 percent of receptions went for a first down or a touchdown, second- best among draft-eligible receivers. Averaged 9.0 yards per attempt when facing press coverage, tied for 32nd in the nation among wide receivers with at least 20 targets. Long strides get on cornerbacks in a hurry. Good feel for defenders in the open field. Enhances his big-play ability. Forced 32 missed tackles on 175 career receptions. Dropped 16 passes on 191 catchable attempts. Shows toughness and body control when catching the ball in traffic. Caught 54.5 percent of contested targets and tied for 13th in the nation with four touchdowns.","After two solid seasons, Smith broke out as a big-play threat in 2017, averaging 19.2 yards per catch and hauling in 14 touchdowns. He has good size and body control and he uses his long strides to gain ground and separate from corner- backs down the field. He has the toughness to make plays over the middle of the field and the speed to succeed as a vertical slot option, much like he did at UCF, while also adding value when lined up on the outside."
"58","WR","Equanimeous St. Brown","Notre Dame","Caught 34.8 percent of his deep targets in 2017, tied for 151st in the nation. Dropped six passes on 98 catchable attempts in his career. Moves well for a big receiver. Gets in and out of his breaks well on vertical routes. Gets to top speed quickly and can get on cornerbacks in a hurry. Shows good footwork when getting off press but can improve his hand usage. Large catch radius shows up on off-target throws. Disappointing results in contested situations, especially given his size. Caught only 37.5 percent of his contested targets in 2017. Plays like more of a speed receiver despite his 6-foot-5 frame. Could stand to be more physical in all aspects on the game.","With surprising speed and quickness for his near 6-foot-5 frame, St. Brown has the ability to win at all levels while providing a capable deep threat. He can stand to be more physical, tapping into his size both at the line of scrimmage and down the field, and if he improves in that area, he could develop into one of the best receivers in this draft class."
"59","WR","Courtland Sutton","Smu","Gets in and out of breaks better than most receivers his size. Could still improve his route-running at the top of his breaks. Has enough quicks to get off press. Solid straight-line playing speed. Uses his body well in contested situations. Big catch radius, though he could have done a better job on a few off-target throws in 2017. Forced 26 missed tackles on 143 catches over the last two seasons. Red-zone and back-shoulder weapon at the next level. Caught 574 yards on deep (20-plus yard) passes in 2016, 13th-best in the nation. Deep pass catch percentage dropped from 45.7 percent in 2016 to 33.3 percent last season.","While Sutton’s size is the first thing that comes to mind, he moves well for a bigger receiver and he can be more than just a red-zone weapon. His downfield production took a step back last season, but he’s shown he’s capable of using his body to win down the field and his large catch radius gives quarterbacks a bigger margin for error. Sutton has the size and body control to excel as a possession receiver, but he’ll surprise with his work after the catch and more consistent work down the field could make him one of the better all-around receivers in the class."
"60","WR","Auden Tate","Fsu","Long frame and catch radius that he uses well at the catch point. Tied for 6th in the nation with a 66.7 percent catch rate in contested situations. Tied for 8th in the nation with a catch percentage of 64.0 when facing press coverage. Not an explosive athlete. Struggles to consistently separate. Most of his big plays will come in contested situations. Only played 1,066 snaps in his three years at Florida State. Red-zone and back-shoulder weapon.","Like other taller receivers, Tate has a strong highlight reel of off-target and contested catches, and that should make him a valuable red-zone threat at the next level. He’s not an explosive or shifty athlete, so he may never become a high-volume option in the passing game, but he’s willing to make plays over the middle in traffic. Tate has the skills to be a complementary possession target capable of winning in the back-shoulder game, over the middle and in the red-zone."
"61","WR","James Washington","Oklahoma St.","Maintains speed in and out of breaks. Allows him to get on cornerbacks quickly and run away from them at the top of the route. Ranked eighth in the nation with 3.25 yards per route against Power-5. Led the nation with 815 yards on deep passes in 2017 and ranked second with eight touchdowns on deep passes. Caught all 10 of his slant targets for 192 yards and three touchdowns. Ranked fourth in the nation with 343 yards in contested situations and tied for third with three touchdowns. Top receiver during Senior Bowl practice week. Dominated both the 1-on-1s, particularly against press coverage, and the team drills. Other than posts and slants, did most of his work outside the numbers. Can he be a middle-of-the-field option? Production certainly padded in Big 12, where he was given plenty of 1-on- 1 situations with room to work. Has continued to improve his ability to win at the catch point.","Washington has been one of the nation’s most efficient deep receivers over the last three years as he showed the ability to run away from cornerbacks and he’s continued to improve his game in contested situations. His speed plays well on the field, especially his ability to maintain it in and out of his cuts, and he answered questions about facing press coverage with a dominant Senior Bowl. Washington should be in the mix to be one of the top WRs off the board."
"62","WR","Jester Weah","Pittsburgh","Runs a good hitch-and-go. Accelerates out of his break and regularly created downfield separation. Rounds his breaks at the top of horizontal routes. Caught only 25.9 percent of his deep targets in 2017, well below his 47.4 percent mark in 2016 (30th in nation). Will go up and make impressive catches in tight coverage, but also allows far too many to get into his body and be broken up. Caught only 28 percent of his contested catch opportunities (7-for-25). Dropped 12 of his 88 catchable targets in his career. Averaged 7.5 YAC/reception in his career, including a 10.5 mark in 2016. Shows the willingness and toughness to make catches over the middle of the field.","Weah’s career contains high-level flashes, but it lacks consistency. He can be a vertical threat with his size and straight-line speed, though he doesn’t create separation on the entire route tree. He shows the toughness to win in the con- tested game and over the middle, but there are still too many plays in which he lets the defenders get back into the play. Weah’s size and big play ability make him an intriguing developmental receiver."
"63","WR","Cedrick Wilson","Boise State","Posted a WR rating of 150.3 in the middle of the field, second-best among FBS receivers with at least 35 targets. Led all FBS receivers with 4.58 yards per route against Power-5 conferences. Has good quicks after the catch and forced 22 missed tackles on 140 catches over the last two years. Dropped only 10 of 150 catchable targets over last two seasons. Adjusts well to off-target throws. Has the route-running ability to do damage in the slot. May not be much of a deep threat at the next level and caught only 38.7 percent of his deep targets last season, 112th in the nation. Ranked second in the nation with 383 yards in contested situations.","Wilson has two solid years of production under his belt at Boise State, where he showed the skills to win on the outside or in the slot at the next level. He may not have the speed to be a true deep threat, but he did show well in contested situations. There are plenty of spectacular and off-target catches littered throughout his tape. Wilson is yet another complementary piece from this draft class, and his ability to line up in multiple roles should only help his cause."
"64","WR","Javon Wims","Georgia","Caught 55.0 percent of deep targets, tied for 16th-best among FBS receivers. Moves well for his size. Gains ground on corners off the line of scrimmage. Excellent catch radius. Attacks the ball in the air. Routinely makes off- target catches. Rounds his routes down the field. Varies the speed of his routes in order to create separation. Good feel for defenders and a tough runner after the catch. Forced 10 missed tackles on only 46 catches last season. Dropped six of his 52 catchable targets in his career. Only one strong year of production at Georgia.","Another big target in this draft class, Wims has good straight-line speed and some nuance to his route running, though he doesn’t always get in and out of his breaks cleanly. He has a number of highlight-reel catches on tape, as he uses his long frame and body control to routinely make off-target catches. If paired with an aggressive quarterback, Wims can be productive in contested situations and perhaps a bit more if he can clean up some of his route running."
"65","TE","Jordan Akins","Ucf","Ranked 3rd among draft-eligible tight ends with 1.93 yards per route. Caught seven deep passes in 2017, tied for 4th among FBS tight ends. Good speed and quickness as a route runner. Has the speed to stretch the seam. Caught only 3-of-10 contested targets. Works hard in the run game. Can sustain second-level blocks. Can locate and lock onto targets as a run blocker. Had an excellent showing during the week of Senior Bowl practice. Dropped 10 of 93 catchable targets in his career. Gets to top speed quickly after the catch. Averaged 6.4 YAC/reception during his four-year career.","Akins is one of the more athletic tight ends in the draft, as he has the speed to stretch the field and do damage after the catch. He also shows the quickness to separate at the short and intermediate levels, making him a viable pass threat. Like most college tight ends, blocking is not a strength, but he’s not afraid to mix it up and he can do damage on linebackers at the second level. Akins has potential to be one of the better pass-catchers in the class."
"66","TE","Mark Andrews","Oklahoma","Excellent athlete, both before and after the catch. Good quickness for his size, allows him to separate and make defenders miss in space. Did a much better job of adjusting to off-target throws this season. Little experience as an in-line blocker and it shows with some ugly reps on tape. Can be used as a mismatch weapon all over the offense, either outside, in the slot, or in an H-back role. Ranked 5th among FBS tight ends with 2.63 yards per route. Led all FBS tight ends with 10 deep receptions and 318 deep receiving yards. Ran 81.4 percent of his routes from the slot, 3rd-highest among tight ends.","Andrews was essentially a slot receiver at Oklahoma and he can fill multiple roles at the next level due to his athleticism and ball skills. Like most receiving tight ends in the class, he has work to do in the run game, but he’s capable of lining up in the slot, out wide, or in an H-back role and creating mismatches for opposing defenses. Usage will be key, as Andrews works to improve as an in-line blocker, but he has the receiving skills to make an immediate impact."
"67","TE","Troy Fumagalli","Wisconsin","Solid route runner, can make plays at the intermediate level. Good catch radius. Doesn’t have great athleticism but knows how to use his body and work the middle of the field. Plays right on the border of leveraging defenders and pushing off. Tied for 4th among draft-eligible tight ends with 1.87 yards per route in Caught 45.5 percent of contested targets. Dropped 12 of 147 catchable targets in his career. Provides little after the catch with only four career missed tackles on 135 catches and 3.8 YAC/reception. Continues to improves as a run blocker and can handle first contact. Gives his running back a chance.","Fumagalli knows how the work the middle of the field, using his body and catch radius to move the chains. He’s not a dynamic athlete, and it shows in his subpar after-the-catch stats, but he can be a useful option in the pass game at the short and intermediate level. He’s improved every year as a run blocker and he’s capable of at least holding up against stronger defensive players while also showing the ability to lock onto moving targets."
"68","TE","Mike Gesicki","Penn State","Hauled in four touchdowns out of the slot, third-most among FBS tight ends. Uses his long frame to attack the ball. Good body control to adjust to off- target throws. Caught 75 percent of contested targets (9-for-12), best in the nation among tight ends. Long strides allow him to glide down the field. Inconsistent getting in and out of horizontal routes, but will flash some wiggle at the top of routes. Ranked 31st in the nation with 1.51 yards per route in 2017. Dropped 14 of 146 catchable targets in his career. Had one of the best weeks of practice among tight ends at the Senior Bowl.","Gesicki’s length stands out as he can get up the seam and he uses his frame to make off-target and contested catches. He can be a weapon in the middle of the field, but like many of the tight ends in this class, he’ll have to be used in the right role in the run game. He struggles as an in-line blocker, but was capable enough when asked to block on the move. Gesicki is a mid-tier tight end in this class and he can work well with an aggressive quarterback willing to give him opportunities to win in tight windows."
"69","TE","Dallas Goedert","Sdkst","Forced 12 missed tackles after the catch, tied for the first in the nation. Averaged 8.2 yards after the catch per reception. Mismatch weapon in the passing game and South Dakota State got him the ball in a variety of ways. Has the speed to be a vertical threat and the quickness to get off press and win on short routes. Body control allows him to make spectacular catches. Dropped five passes on 76 catchable targets last season. Had 206 run-blocking snaps from a traditional tight end position last season. Not powerful at the point of attack in the run game. Gets to the second level and can locate targets both from tight end or slot alignment.","Goedert should challenge to be the top tight end off the board as he has a fantastic combination of size and athleticism. He moves like a wide receiver despite weighing 260 pounds and he’ll be able to create mismatches at the next level from all over the formation. Goedert looked like a serviceable run-block- er at the FCS level, though he rarely had an opportunity to take on NFL-caliber defensive ends. He’ll make his mark as in the pass game in the NFL, and his size and body control should make him a premier red-zone weapon."
"70","TE","Hayden Hurst","Scar","Did not drop a pass on 43 catchable passes last season. Only dropped three of 103 catchable targets in his career. Good catch radius and body control. Went 7-for-11 on contested targets (63.6 percent). Has the speed to stretch the seam and the quicks to make defenders miss after the catch. Forced 14 missed tackles on 100 receptions in his career. Averaged 7.0 YAC/reception in his three years. Shows toughness running after the catch. Not afraid of contact. Run blocking is still a work in progress. Misses his target far too often when on the move in the run game. Can fly to the second level in the run game and has a few highlight-reel blocks to his name.","Putting his age aside, Hurst’s athleticism stood out on tape, as he has the speed to work the middle of the field and the quickness and toughness to make plays in the short game. He has potential to create mismatches in the slot or out wide, and he has plenty of experience in a ‘move’ tight end role in South Carolina’s offense. He still has plenty of work to do in the run game, but he’s serviceable in more of an H-back role. Hurst is right up there with the top pass-catchers in this draft."
"71","TE","Cam Serigne","Wake Forest","Exaggerated route runner. Really tries to sell his breaks. Shows good agility on horizontal routes. Can separate at the break point. Lacks power at the point of attack in the run game. Shows the quickness to reach block and find targets when on the move as a run blocker. Has more in-line experience than most college tight ends. Ran only 35.1 percent of his routes from the slot in 2017. Caught 76.9 percent of his slot targets, 4th-best in the FBS last season. Caught 8-of-13 contested targets (61.5 percent) Forced only 12 missed tackles on 174 career receptions. Dropped 14 passes on 188 catchable targets in his career.","Serigne had a productive four-year career at Wake Forest and he has the route-running ability to be an effective pass-catcher at the next level. He shows some quicks on horizontal routes and he can do damage from multiple po- sitions. He has plenty of experience in-line blocking, but still lacks power in the run game, but he may have the ability to make the necessary blocks on the edge in a zone scheme."
"72","T","Dejon Allen","Hawaii","Undersized college tackle who will likely have to move inside at the next level. False steps in pass protection often. Will need to be completely revamped. Relies on his athleticism at the moment. Slow out of his stance consistently. Will get stood up consistently by NFL edge defenders if he doesn’t fix – especially inside. Thick build through his lower half. Has the frame that could add weight and strength fairly easily. Great lower body drive in the run game. Feet never stop moving. Looks like an athlete out in space. Can locate linebackers at the second level well.","Allen is very much a late-round project at this point. Technically he is nowhere near ready to play in the league, but his athleticism and production are in- triguing. He’s so far away at the moment that his best bet may be to develop on a practice squad."
"73","T","Orlando Brown","Oklahoma","As large a human being as you’ll see on a football field. Brown engulfs smaller edge defenders. Impressive length that he knows how to use to his advantage. Makes defenders run a long loop to the quarterback. Strength that you can’t teach. Almost never ceded ground to a bull rush and wasn’t getting taken into the backfield on runs. Slow footed. Simply can’t mirror at a high-level because of his weight. Looks like he’s running in mud on pulls. Inconsistent with technique from snap to snap. Possibly scheme limited with his movement ability. Not a guy you want playing in space too often.","Brown’s highest levels makes you think he’s a future All-Pro, but his lowest ones give you pause about him matching up with NFL-caliber athletes. In the right scheme though, it will be easy to fall in love with Brown and his sheer physical prowess. You hope he can lean out in an NFL training facility and get some quickness back in his game."
"74","T","Zachary Crabtree","Okst","Right tackle with the size to stay there at the NFL level. Four-year starter at right tackle who was one of the best pass protectors in country as junior and senior. Allowed 16 pressures in 2017. Plodder. Mirror ability is subpar and got out-quicked by even average college athletes on the edge. Proficient gaining depth and playing angles in pass protection. Smooth in and out of stance. Not an overly powerful tackle. Showed in run game, where he never graded too far above average. Locating linebackers in space looked like a chore. Athleticism leaves a lot to be desired. Rarely latches into defender’s shoulder pads and locks out. More often than not just leans on guys in run game.","Crabtree may very well be capped out as far as his capabilities go. He lacks the requisite quickness to match NFL caliber athletes on the edge. Some of that could be alleviated by a move to guard, but his overall poor leverage makes that unlikely to be a much better fit."
"75","T","Tyrell Crosby","Oregon","Multiple seasons of elite grades at both right and left tackle. Thick, strong tackle who owns a power advantage against almost every defensive lineman he faced. Run blocks with a mean streak. When his hand placement is on point he buries defensive linemen. Feet are slow and mirroring ability suffers as a result. Made a living off his strength and ability to snatch defenders in pass pro. Rarely took true pass sets at Oregon. Keeps hands wide and gets grabby when he did. At his best when he can play straight ahead. Could be scheme limited in the NFL. Not great in space.","Crosby isn’t going to win any beauty contests with his play style, but he got the job done at a high level at Oregon. It’s encouraging that he showed well in pass protection 1-on-1s at the Senior Bowl, with a 67 percent win rate, considering his pass sets at Oregon were underdeveloped. His quickness could even see teams value him as a guard at the next level."
"76","T","Jeromy Irwin","Colorado","Three-year starter at left tackle (missed most of 2015 due to injury) who improved every single year at Colorado. One of the best pass protectors in the nation and only allowed six sacks his entire college career. Top-heavy big man who struggles to play with leverage. Often stands straight up on first contact with defender. Balance is a big issue and unlikely one that has a quick fix. Wins more with technique in pass-pro than athleticism. First punch is solid, but feet are too slow to recover if it doesn’t land. Strong upper body that can torque defenders in the run game and stop them in their tracks in pass pro.","Irwin’s college production this past season was fantastic, but there are a lot of concerns about it translating to the NFL. With his lack of athleticism, he’s a strong candidate to kick inside to guard at the next level. The quicker he can get into defenders the better, it allows his natural strength can take over."
