consensus,Player Name,Position,College,draft_year,gsis_id,round,pick,max_pick,below_consensus,beast_school,beast_grade,beast_rank,beast_summary,beast_strengths,beast_weaknesses,pff_overview,pff_pros,pff_cons,pff_bottom_line,pff_extra,br_positives,br_negatives,br_article_grade,br_overall_rank,br_position_rank,br_pro_comparison,sc_APY,sc_rank_on_date_APY,sc_contract_type,sc_date_signed,sc_years,draft_value,sc_tier,sc_rank,draft_tier,sc_contract_tier,ht_in,wt_lbs,arm_in,hand_in,wing_in,dash40,vj_in,bj_in,shuttle,cone3,bench,z_ht_in,z_wt_lbs,z_arm_in,z_hand_in,z_wing_in,z_dash40,z_vj_in,z_bj_in,z_shuttle,z_cone3,z_bench
201,Chase Lucas,CB,Arizona State,2022,00-0037321,7.0,237,262,-36,Arizona State,5th-6th Round,25.0,"A five-year starter at Arizona State, Lucas was an inside and outside cornerback in former defensive coordinator Antonio Pierce’s scheme. His career trajectory didn’t go quite as planned after he was a Freshman All-American in 2017, but he was a solid starter for the Sun Devils and didn’t allow a touchdown as a senior captain in 2021. Lucas stays square and balanced in his movements to seamlessly transition or drive with different types of route runners. However, he makes too many questionable decisions, biting on route fakes and taking himself out of position. Overall, Lucas has his share of discipline lapses on tape, but he is a twitchy athlete with the body control in coverage to leverage passing windows and make plays on the ball. His inside-outside versatility will help him make an NFL roster.","Composed athlete with short-area burst out of his pedal … stays under control and in phase to leverage the catch point … reads his keys and collects himself quickly to plant, gather and go on plays in front of him … has the veteran route awareness expected of a five-year starter in college … has an offensive background and does receiver-like things when the ball is near him … highly competitive in coverage and run support … physical vs. the run and finds ways to get his man on the ground … voted a senior captain and known as a vocal leader who keeps the defense accountable … played both inside and outside on the 2021 tape … his 49 career starts are second-most in school history.","Narrowly built athlete with below-average play strength … experienced quarterbacks will have no problem manipulating him with their eyes … guilty of false steps because of his risk-taking … defaults to grabbing after a misstep (six penalties in 10 games in 2021, including two pass-interference and two defensive holding penalties) … cut down on the missed tackles as a super senior, but tackling is not a strength to his game with too many ankle-biting or fly-by attempts … mediocre ball production for a player with 1,700 coverage snaps (his last interception came in October 2019) … older prospect and will be 25 on draft weekend.",,,,,,"— Long strider who has good speed when able to open up to full stride. Shows the ability to keep up with receivers downfield. | — Has a good pedal in off-coverage, with the ability to weave and keep leverage. | — Ball skills to attack the ball in the air. Plays through receivers at the reception point. Flashes ability to play receiver with back to the ball.","— Below-average change of direction. Long strides make it hard to stick with twitchier receivers. — Struggles with pad level, causing him to round breaks. | — Has hip tightness when flipping. Not fluid when asked to swivel. | — Can panic and get handsy when downfield. | — Lacks recovery speed when out of position.",,232,CB27,Shaun Wade,216000.0,465.0,Practice,2023-08-30,1.0,-36,too_early,,slide,,71.25,180.0,31.875,9.25,74.5,4.48,39.0,128.0,4.16,6.78,12.0,-0.4925097610599799,-1.3833298725786067,0.47866678101973587,0.2669790608495317,-0.5707917835149596,-0.2710420123053974,0.2225011949371491,0.37871163278510495,-0.08694646929956786,-0.06646218466767259,-0.4811540561508473
202,Christopher Allen,EDGE,Alabama,2022,,,undrafted,262,undrafted - proj drafted,Alabama,4th Round,21.0,"A two-year starter at Alabama, Allen played strongside linebacker in head coach Nick Saban’s hybrid 3-4 scheme, standing up on the edge and putting his hand on the ground on third downs. After leading the SEC in tackles for loss in 2020, he was poised for a breakout season in 2021 but played only 10 snaps in the opener before a foot injury sidelined him for the year (looked impressive in those 10 snaps vs. Miami (Fla.) with three tackles and a strip sack). Allen plays with excellent play strength and hand violence to stay detached from blockers in the run game and as a pass rusher. He needs to become better schooled with the art of pass rush, but he displays the natural twitch and upfield attack skills worth developing. Overall, Allen has some tweener traits, and the medicals are obviously a red flag, but he could wind up being a steal as the forgotten prospect in a loaded edge rusher class. He projects as a rotational NFL pass rusher with upside to be more.","Physically strapped together with a sculpted body type ... balanced feet with lower body twitch for each direction change ... adequate initial quickness out of his rush stance ... his knee and body flexibility help him bend the edge ... surprises blockers with his physicality at the point of attack, using club/swipe moves to force his way through blockers’ shoulders ... sets a hard edge with his stone hands to extend, shock and lock out ... leverages and contains as a run defender ... pounces as a tackler to slam the ball carrier to the ground ... shows a knack for ripping the football out with four career forced fumbles ... appears comfortable dropping into zones and playing traffic cop ... has worked his way back from two major injuries.","Lacks elite measurements for NFL trench work ... his arc acceleration is solid but not special ... has an undeveloped pass rush arsenal, and his sequencing lacks creativity ... his range vs. the run is average ... can be late to feel and anticipate side-angled blocks on outside runs ... missed tackles were an issue for him on his 2020 tape ... his college résumé is incomplete with only five starts in five seasons ... wasn’t a special teamer in college ... suffered two major injuries in the past four years: tore his ACL (August 2018) and underwent surgery, sidelining him for the 2018 season; suffered a fractured right foot in the season opener (September 2021), requiring season-ending surgery.","Allen has seen time for the Tide ever since his true freshman year in 2017. After missing 2018 with a knee injury, he returned to another part-timer role in 2019 before starting on Alabama's national championship team. He was utliized for his versatility that year, dropping into coverage on 76 snaps. While he wasn't all that productive, Allen showed he could win in a number of different ways. Baton Rouge, , LA", Uncoachable feel for secondary moves. edge. More of a hands rusher. tackles pads.,Strings his moves together seamlessly. Little versatility vs. run. Has to be wide. Coverage versatility to play a true 3-4 OLB role. Physical rusher despite size. Wants to get in 2018 and most of 2021.,"He's got an extensive injury history and will be limited to a 3rd down role, but he's got an innate feel for rushing the passer.",,— Solid length. Allows him to set the edge and lock OL out of his frame. | — Overall sound run defense technique. Good eyes and hand usage. | — Decent get-off on pass-rushing downs. | — Above-average balance when fighting through contact. | — Above-average movement skills in space. | — Showed comfort as a stand-up player and with his hand in the dirt.,"— On the light side for an edge prospect. | — Anchor against the run is not terrible, but it does waver at times. Maybe more of an issue in the NFL. | — Hands do not pop upon engagement. Rarely overwhelms OL that way. | — Speed and bend around the edge did not show up often enough.",6.4 (High-level Developmental Prospect - 5th Round),163,EDGE21,Nate Orchard,234667.0,268.0,Practice,2022-08-31,1.0,60,too_early,,reach,,75.5,241.0,33.0,10.0,80.25,,,,,,,-0.10517603076964216,-1.269702044033156,-0.14816785513779251,0.5959744762080551,0.08163275048524193,,,,,,
203,Grant Calcaterra,TE,SMU,2022,00-0037086,6.0,198,262,5,SMU,6th Round,16.0,"A one-year starter at SMU, Calcaterra was the F tight end in former offensive coordinator Garrett Riley’s version of the air raid scheme. After he was primarily a slot-only player at Oklahoma, he adjusted to a “move” tight end role with the Mustangs where he split his time between the slot and the backfield and set career bests as a pass-catcher. A fluid, but finesse pass catcher, Calcaterra moves well in his routes with the body control to make athletic adjustments on the football. However, he doesn’t create a ton of separation (before or after the catch) and although willing as a blocker, he lacks the play strength to consistently win the point of attack. Overall, Calcaterra’s history of concussions is a troubling part of his evaluation, but he has athletic pass-catching skills to snatch with his hand-eye coordination. He projects as a rotational F tight end in the NFL.",Good-sized athlete with fluid movements … controlled feet to settle and work back to the football … quick to read and leverage the coverage with his routes … can work the seam and track the ball over his shoulder … smoothly adjusts to throws outside his frame … surprisingly efficient as a pass blocker because of his lateral footwork and eager hands to shield defenders … good grip strength to latch and occupy defenders in space … didn’t have any blocking penalties as a senior … named a team captain in his only season with the SMU program.,"Below average conversion rate in contested situations … for a loose athlete, his YAC skills are bland on tape and he has a tough time forcing missed tackles … gets too aggressive downfield (twice called for offensive pass interference in 2021) … limited résumé as a blocker … doesn’t have the sand or body power to be a people-mover in the run game … his anchor strength will quickly break down vs. NFL defenders … doesn’t have an extensive special teams background … retired from football because of multiple concussions and missed most of the 2019 and 2020 seasons (he isn’t sure how many concussions he has suffered).","Calcaterra started his career at Oklahoma where he saw the field right out the gate with 10 catches for 162 yards and three scores as a true freshman. His 12 catch, 396 yard, score sophomore campaign in 2018 put him firmly on NFL radars as a potential top tight end in the 2020 draft. Tragically, concussion symptoms caused him to miss the second half of 2019 and then prematurely retire from football altogether. After sitting out an entire he, Calcaterra decided to return to the game and join another former Sooner in quarterback Tanner Mordecai at SMU. Rancho Santa Margarita, CA","Very fluid mover for the position. Like a rocked up wide out. On the shorter side, but with broad shoulder and well-sized catch radius still Capable of running a full NFL route tree. Speed to work vertical as well.",Inline blocking was an afterthought at both stops. 15.9% career inline rate. Average ball skills for the position. Not the level of reliability you'd like. Has already retired from football.,Calcaterra's concussion history will scare teams off. As a pure pass catcher with no other concerns he'd go multiple rounds higher than this.,,"— Long arms help overcome smaller size. | — Very good straight-line speed. Has the ability to stretch the field on vertical routes like overs and seams. Can pull away from defenders on crossing routes. | — Can create explosive plays after the catch with his speed. | — Athletic enough to consistently split out, but also a willing blocker when asked to do so from in-line positions.",— Average size | — Body catcher who doesn’t consistently use his long arms. Will let throws get to his chest and had drops crop up.,,157,TE10,Jacob Tamme,,,,,,5,too_early,,consensus,,75.875,241.0,33.25,10.0,79.875,4.62,32.5,,4.3,7.09,20.0,-0.4819322998481771,-0.9546538380946132,0.539610751341341,0.5239914485548469,0.3859045208760016,-0.35745226030256966,0.321590648444284,,-0.10649758651074988,0.0878869446110656,0.4297454256126257
204,Sterling Weatherford,S,Miami (OH),2022,,,undrafted,262,undrafted - proj drafted,Miami (Ohio),Priority Free Agent,24.0,"A three-year starter at Miami (Ohio), Weatherford was a versatile safety in defensive coordinator Spence Nowinsky’s 4-2-5 base scheme. Lining up single- high, in the box or as a slot defender, he finished top three on the RedHawks in both tackles and passes defended each of the past three seasons. With his coordinated footwork and smooth hips, Weatherford has the frame and athleticism to match up vs. tight ends or break down and make plays vs. the run. Though he is a physical hitter and his tackling improved each season, he will struggle to adjust to open-field moves, and his finishing strength must improve. Overall, Weatherford has average explosiveness with some coverage limitations that must be managed, but he is a smooth athlete with outstanding size and eye discipline. Along with special teams, his best NFL projection might be in a hybrid role as subpackage box safety or weakside linebacker.","Clean and coordinated in his pedal, transition and drive mechanics … his smooth turn-and-accelerate skills stem from his basketball background … above-average spatial awareness … quick to diagnose play-action and sort through route combinations … skillfully adjusts his tackling angles mid-pursuit … physical striker and unloads on receivers over the middle … has the grip strength to make off-balanced tackles … extends his physical hands into blockers and sees beyond them … wasn’t a highly penalized player in college, with only one pass interference penalty in more than 1,000 career pass coverage snaps … extensive special teams experience (488 snaps) over the past four seasons … solid production and finished top three on the team in tackles and passes defended each of the past three seasons.","Tweener size and length by NFL standards … not an overly explosive player, which will lead to some coverage limitations … missing a fifth gear or burst when attempting to close on a pass … needs to take more chances to create more interception opportunities … will drop his eyes and leave his feet prematurely, which creates low (and often missed) tackle attempts … comes to balance to square his target as a tackler, but his finishing strength needs to improve … can be better with his punch timing to mitigate his average length when playing near the line of scrimmage … little-used blitzer in college.",,,,,,,,,,,,,,,,,58,too_early,,reach,,76.0,224.0,32.0,8.625,76.125,4.59,36.0,117.0,4.33,6.93,21.0,2.2910796626189964,2.1796974733374546,0.5551988666465408,-1.350090092951423,0.12664668034805326,-0.095174719481363,0.13303210379405186,0.044427771910161847,-0.11688122371070907,0.0012910192990093865,-0.032219858565686356
205,Kalia Davis,DL,UCF,2022,00-0037832,6.0,220,262,-15,UCF,4th-5th Round,10.0,"A two-year starter at UCF, Davis was a three-technique in defensive coordinator Travis Williams’ front, lining up inside, outside and over the guard. A 235-pound linebacker as a senior in high school, he transitioned to the defensive line in 2019, missed the 2020 season because of COVID and was in the midst of a breakout senior year before his ACL injury. Davis bursts upfield with his low center of gravity and football GPS to either find cracks at the line of scrimmage or create them. However, he tends to rely on his first step and effort as a rusher rather than a coordinated plan of attack, which also hurts his finishing ability. Overall, Davis’ tape has more flash than consistency (only five games played the last two seasons), but he fires out of his stance with twitch and range to create backfield disruption vs. the run and as a pass rusher. He is a developmental three-technique prospect.","Outstanding upfield quickness to knife through gaps ... uses his natural leverage to play low and balanced through redirect blocks ... coils his hips and barrels into blockers to put them in reverse, but you rarely see him go backward at contact ... quick hands and decent arm length to swim or rip ... keen eye for where the ball is going to stay ahead of blocks ... stays disciplined and active in the run game ... fluid redirect skills to make sharp cuts mid-pursuit ... outstanding motor to chase plays outside the numbers ... productive when he was on the field. [189]","Short, squatty frame and needs to work on his build ... carries some sloppy weight and needs to stay on top of his conditioning ... below average finishing skills, often playing out of control and sliding off the ball carrier ... his hands are active, but his pass rush moves aren’t connected ... late with his hands, allowing blockers to reach his chest ... struggles to recover once blockers gain the upper hand ... has played in only five games since the 2019 season after opting out of the 2020 season and suffering a torn ACL in his right knee (October 2021), requiring surgery a month later.",,,,,,"— Short, stocky build helps him eat contact and anchor in the run game. | — Great first step. Explodes off the snap. | — Good quickness across the line of scrimmage. Can fire off into gaps with relative ease. | — Above-average agility and movement when working in space. Finishes plays. | — Flashes of great upper-body strength and power in his hands.","— Foot speed slows down when engaged. Base ends up out of whack. | — Plays sawed-off despite good length. Constantly leaning and chest-bumping. | — Hand usage needs work, both versus the run and pass. Would help unlock his strength. | — Not an effective 1-on-1 pass-rusher at this stage.",6.3 (High-level Developmental Prospect - 5th Round),185,DL17,Deadrin Senat,207000.0,441.0,Practice,2022-11-09,1.0,-15,too_early,,consensus,,73.0,302.0,33.625,9.5,80.0,,,,,,30.0,-1.598358631378513,0.0010624696351784748,0.4989259681951375,-0.6205186353162955,0.04859250099044565,,,,,,0.22687395775153776
206,Charleston Rambo,WR,Miami (FL),2022,,,undrafted,262,undrafted - proj drafted,Miami (Fla.),5th-6th Round,26.0,"A one-year starter at Miami (Fla.), Rambo was an outside wide receiver in former offensive coordinator Rhett Lashlee’s power spread scheme, lining up almost exclusively to the right of the formation. After he struggled to break through during his four years at Oklahoma, he put together the most prolific receiving season in Hurricanes’ history with school records for catches (79) and receiving yards (1,172) in 2021. With his plant and burst, Rambo has terrific separation quickness and doesn’t lose speed out of his cuts. His lean features aren’t ideal vs. physical defensive backs, but he played with improved confidence and finishing skills as a senior. Overall, Rambo can be out-matched in contested situations, but his blend of speed, body control and tracking skills translate well to the NFL level. His game reminds me a lot of former Dallas Cowboy (new Miami Dolphin) Cedrick Wilson.","Outstanding length/speed combination ... mixes gears as a route runner and attacks the defender’s leverage to find pockets of separation ... shows the one-step quickness to beat press and release vertically ... stays collected at the top of routes, decelerating on command ... adjusts to the ball in-flight, and tracks the ball naturally over his shoulder ... stabs away from his body, and provides a large strike zone for the quarterback ... stretches out his stride post-catch to take it the distance ... better blocker than expected thanks to his stubbornness ... spent less than a year with the Hurricanes but earned immediate respect with his quiet, humble persona ... offers kick-return experience, averaging 21.7 yards per return (15/326/0) ... highly productive senior year, becoming just the fifth player in Hurricanes history to surpass 1,000 receiving yards in a season.","Lean-muscled frame, and needs to continue developing play strength ... can be out-physicalled by defenders and slowed mid-stem ... not a consistent finisher in traffic, and loses focus when crowded ... occasionally allows the ball into his body ... has slight tightness through his hips ... marginal elusiveness after the catch, and missed tackles were random on his film ... relies on lower body to beat press, and must develop his hand techniques ... only one season of high-level production, and had to leave an explosive offense to do it.",,,,,,,,,,,,750000.0,460.0,SFA,2023-05-16,1.0,56,too_early,,reach,,72.625,177.0,32.0,9.75,76.5,4.57,33.5,118.0,4.21,7.09,,-0.10373588745914537,-1.4897179316452664,0.3054361872987673,0.7386489288803741,0.08765629246833362,-0.18865356253797788,0.14683822813889746,0.08264608316351371,-0.1970863570060446,-0.05941231397527415,
207,Abram Smith,RB,Baylor,2022,,,undrafted,262,undrafted - proj drafted,Baylor,4th-5th Round,10.0,"A one-year starter at Baylor, Smith emerged as an ideal fit in offensive coordinator Jeff Grimes’ wide-zone scheme in 2021 and became one of the best stories in college football. After a prolific high school rushing career, he played primarily on special teams and at linebacker over his first four seasons in Waco, averaging 11.5 tackles as the starting weakside linebacker in the final four games of 2020. The coaches asked him to return to running back as a senior, and he led the Big 12 rushing yards and was one of only five FBS players to reach 1,600 rushing yards in 2021. A patient yet decisive downhill runner, Smith trusts his blocking and shows the nimble footwork to clear creases. His receiving, blocking and ball security are areas that can be improved, but NFL scouts have zero questions about his coachability and intangibles. Overall, Smith won’t be an ideal fit for every scheme, but he is tailor-made for outside/split zone run game with his one-cut quickness and feel for lane development. He not only brings value to the backfield but is well-versed on defense and special teams to potentially offer three-way versatility.","Decisive one-cut, north-south runner … his feet are controlled and quick … accelerates smoothly and carries his momentum through his cuts … his timing and vision stay on schedule … disciplined between the tackles, and won’t try to bounce everything … keeps his legs churning through contact … physical finisher and makes defensive backs regret trying to tackle him one-on-one … squares and looks to unleash power in pass protection … experienced on special teams coverages (493 career snaps) … unselfish teammate and does what is best for the team (had near zero experience when the Baylor coaches asked him to move to linebacker) … … beloved in the Baylor locker room for his competitive spirit and astute personality (head coach Dave Aranda: “Abram’s got a learner’s heart. You can never give him enough.”) … plenty of tread on his tires after only 283 offensive touches in college … led the Big 12 in rushing yards in 2021.","His feet can be late to clear short areas … not a creative or shifty back … inconsistent pad level, and his size can work against him … not proven as a pass catcher and will drop some easy ones … needs to expand his résumé of routes … only two fumbles in 2021, but holds the ball low and loose and needs to tighten up his ball security … physical presence as a blocker, but his technique and discipline aren’t on the same level yet … suffered a torn ACL as a sophomore in high school (October 2014) and a torn ACL and MCL as a freshman at Baylor (April 2017) … only one full-season in college of regular work as a running back.",,,,,,— Good burst to and through the second level. | — Above-average flexibility. Can switch directions and angles with relative ease. | — Flashes impressive power to bounce off tackle attempts. | — Great pass protection awareness and technique. | — Good strength as a pass protector. Regularly stands blitzers up.,— Balance is underwhelming considering his frame. Too often goes down on first contact. | — Not as physical a runner as he could be. Braces before contact instead of running through people. | — Wiggle in space is lacking. Not one to make defenders miss in space. | — Not asked to catch many passes in college. There is a lot to prove in that area.,,194,RB17,Salvon Ahmed,750000.0,224.0,SFA,2023-08-05,1.0,55,too_early,,reach,,71.625,213.0,30.25,8.25,72.375,4.5,36.0,116.0,4.4,7.25,13.0,0.6706563919349878,0.18569290132528632,-0.3412801276317073,-1.9679292901721934,-0.737893718581092,-0.24894126218141158,0.08636128362045081,-0.0377799085962248,-0.08364687962661559,-0.10822024967645463,-1.2079008928856307
208,Andrew Stueber,OT,Michigan,2022,00-0037620,7.0,245,262,-37,Michigan,5th Round,14.0,"A two-year starter at Michigan, Stueber played primarily at right tackle in former offensive coordinator Josh Gattis’ power-spread scheme. After sitting out the 2019 season with an ACL tear, he broke into the starting lineup and started all 20 games for the Wolverines the last two seasons, playing his best football as a senior. Stueber is assignment sound in pass protection with the hands and response time to combat what rushers throw at him. He is a functional run blocker and creates movement on down blocks, but he has some stiffness in his lower body and must improve his pad level to create movement. Overall, Stueber has NFL size, length and smarts, but he doesn’t have the athleticism to hold up at tackle and needs to improve his balance and sustain skills to earn a living at guard. He has the potential to be a dependable backup who can step in and hold his own if asked to pinch-hit as a starting guard.","Large, barrel-chested blocker and checks boxes for length and hand size ... physical hands to snatch and dictate the action with his grip strength ... his punch is stiff and direct ... adequate body control in pass protection to stay square and work himself into position ... good head on his shoulders and rarely fooled by stunts/twists ... understands angles in the run game ... drives with his legs to create a surge and get defenders moving ... his coaches call him “one of the smartest football guys” in the program ... grew into a leadership role and filled whatever role the coaches asked of him ... played both tackle and guard in college and also took snaps at center during Senior Bowl practices.","Below average agility and his range can be exposed vs. edge speed or quick-twitch penetrators ... will try to get a head start and mistime the snap (four false start penalties in 2021) ... lacks the fluidity to easily recover when his feet are late matching his upper body ... inconsistent at the second level ... bad habit of allowing his hands to get wide, leaving him hugging and falling off blocks ... inconsistent pad level in the run game, negating his ability to leverage and sustain the point of attack ... suffered a torn ACL during preseason practices (August 2019) and missed the 2019 season.",,,,,,"— Shows good patience and eyes in pass protection to smoothly pass off stunts and line games. | — Stays square and light on his hands in pass protection against tightly aligned rushers when his edge isn't threatened, utilizing independent, jolting strikes with a strong outside hand to keep them at his fingertips. | — Does a nice job with his aiming points to get good fits and close space on double-teams, with good leg drive to uproot and displace DTs. | — Has a solid understanding of the play's intent to manipulate body positioning on defenders to wall off, pin and seal to help define the read for runners.","— Top-heavy build with noticeable stiffness in his lower half. | — Limited range at tackle, and struggles to protect the corner when on an island against widely aligned speed-rushers who attack his edge. | — On the ground too often due to poor agility and change-of-direction skills that result in him stepping under himself and unable to redirect laterally to cover up inside counters and movement across his face. | — Wide hands and an upright approach on down-blocks allow DTs to stab, stack and disengage too quickly.",,216,IOL22,Andrew Norwell,275334.0,147.0,Practice,2023-08-30,1.0,-37,too_early,,slide,,78.625,325.0,34.125,10.0,79.875,,24.5,101.0,4.9,7.94,18.0,1.1342274068356026,0.9058574473299165,0.45158862182908077,0.07339717202572577,-0.3279307779556806,,-0.09836663400474673,0.06690113639889478,-0.06137039851662638,-0.055811350425473916,-1.3302678828848216
209,Leon ONeal,S,Texas A&M,2022,,,undrafted,262,undrafted - proj drafted,,,,,,,,,,,,"— High-motor player who flies around the field. Shows great effort in both the run and pass game. | — Physical player who throws his body around. Strong tackler who limits extra yards when able to wrap up. | — Able to play at multiple levels. Can play center field as well as underneath coverage. Does his best when able to play the quarterback's eyes. | — Quick run reads. Able to read and react, filling running lanes.","— Shows some flexibility issues when moving laterally. Tightness causes him to round breaks and turns. | — Limited top-end speed. Receivers can easily run by when he's out of position at times, and he lacks recovery speed to make up. | — Open-field tackling is inconsistent. Doesn't always look to secure tackles.",,247,S17,James Ihedigbo,,,,,,53,too_early,,reach,,,,,,,,,,,,,,,,,,,,,,,
210,Yusuf Corker,S,Kentucky,2022,,,undrafted,262,undrafted - proj drafted,Kentucky,5th Round,14.0,"A three-year starter at Kentucky, Corker lined up at free safety in defensive coordinator Brad White’s scheme. He broke into the starting lineup as a sophomore and posted consistent production, finishing top two on the team in tackles each season and top three on the team in passes defended. Corker is highly instinctive and competitive vs. both the pass and the run, firing downhill as a tackler or tracking the eyes of the quarterback to throws. However, he needs to tighten up his pursuit angles and be more a finisher because he doesn’t have the redirect twitch to easily recover. Overall, Corker has some straight-line tendencies and needs to cut down on the missed tackles, but he plays fast, tough and confident and is ready for NFL life. His special teams ability should keep him alive on an NFL roster while he competes for defensive snaps.","Urgent downhill trigger and competes with the same play personality each snap … physical-minded player who seeks out contact … consistent play speed to run the alley or recover deep … trusts his vision and football senses … fights for body position in coverage to disrupt passing windows … times up his blitzes to cross into enemy territory at the snap … two-time team captain, and the coaches go out of their way to pump him up to scouts … married with a family and has a mature lifestyle … was a regular on special teams coverages (521 career snaps) … durable and started all 37 games the past three seasons.","Ordinary size, build and length … tightness through his hips hinder his change of direction skills … requires a half-second to recover after a false step in coverage … will struggle vs. NFL slot speed if asked to cover receivers one-on-one … matches the physicality of tight ends in man-to-man, but his aggressiveness will draw defensive holding calls … has the ball skills to create turnovers but needs to take more calculated risks … his senior tape has more missed tackles than ideal…would benefit from repeatable tackling mechanics to improve his timing and finishing skills. [273]","Corker redshirted as a freshman in and barely saw the field in 2018 before becoming a starter in 2019. He immediately became the leader of the Kentucky defense and the life-blood of their emergence the past few years. Over that span he's been one heck of a run defender with 40 such stops in three seasons. There have been some coverage lapses, but he's also made a number of plays on the ball as well. Forrest Stockbridge, GA","misses, but sticks guys when he hits them. deeper alignments.",Physical tackler with solid form. Will have clean role fit. Wants to be a part of the run game even from Plus take on ability for wide screens.,Special teams looks like Corker's path to a roster spot as his upside looks like a dime backer,"DEMEA N OR Corker was the tone-setter for the Kentucky defense. He was one of the rare safeties that plays on the other side of the line of scrimmage with four TFL's last year. | DIME BA CKER Corker has the ""want to"" necessary to play the run in the NFL. It's just box-only roles are hard to come by and I'm not sure he's one to trust elsewhere. | P LA Y IN SP A CE A lot of this is physical in nature so it won't be changing anytime soon. He can't always bring that box mentality to the open field, though, where there's no one to clean up for his over- agressiveness.",— Accelerates quickly. Good progressive speed that builds when his stride opens. | — Flashes very good breaking ability with quick feet under his base and little wasted movement. | — Aggressive in the run game. Comes downhill quickly to fill his gap. | — Will show explosive blow delivery in his tackles but typically needs to be able to line up his shot.,"— Inconsistent man coverage. Hip tightness when flipping his hips, as well as when turning to redirect. Not always fluid and can be moved out of position. | — Takes poor angle when tackling. In space, he can over run, give up leverage, or stiffness can show up. Tackle security is inconsistent.",,285,S21,Deionte Thompson,207000.0,284.0,Practice,2022-09-01,1.0,52,too_early,,reach,,72.0,203.0,31.0,9.0,74.875,4.53,34.5,121.0,4.3,7.06,23.0,-0.19757934705154467,-0.06529846619489277,-0.3849548205810104,-0.5711919624025256,-0.42855796098819865,-0.09675753254117357,0.05696131147999206,0.2090558346938294,-0.11724182117120109,0.0390533337950431,0.028915257687154503
211,Cobie Durant,CB,South Carolina State,2022,00-0037839,4.0,142,262,69,South Carolina State,5th Round,22.0,"A four-year starter at South Carolina State, Durant was the boundary cornerback in defensive coordinator Jonathan Saxon’s scheme. A former walk-on, he followed in the footsteps of former Bulldogs such as Javon Hargrave and Darius Leonard and was named MEAC Defensive Player of the Year, finishing his career with 44 passes defended and 12 interceptions in 37 career games. Durant is a scrappy player with the springy athleticism and speed to pattern match in man or drive on throws in zone. He faces a steep learning curve vs. NFL talent and gave up a touchdown on the 2021 Clemson tape, but he also recorded four passes defended and two interceptions in that game. Overall, Durant needs to improve his anticipation and can be outmuscled by size at the catch point, but he has the mirroring athleticism and innate ball skills that are NFL-worthy. He creates flashbacks of Buster Skrine as a prospect and owns the talent to carve out a similar NFL career.","Above-average athlete with the footwork and fluidity to make sudden stops in man coverage … can run with anyone downfield and his timed speed matches his field speed … stays composed in his bump-and-run movements … low pedal and hips to quickly plant and drive … more times than not, his eyes are in the right place … offensive background with outstanding ball skills to find the football … corralled 12 career interceptions (two vs. Clemson in 2021) … stings in run support and doesn’t back down as a tackler … carries himself with the confidence to play on an island … highly productive college résumé.","Undersized with below-average height, build and length … quick to react, but his route anticipation needs to improve … NFL scouts are worried how he will match up vs. NFL size and strength at receiver … will make early contact, especially when he loses body position downfield … physical player, but it comes at a cost (had a pass-interference or defensive holding penalty on four of the 2021 tapes studied) … needs to be more aggressive with his block shedding … was primarily an outside corner on tape and doesn’t have ideal experience in the slot … older prospect and recently turned 24 … most of his experience is against FCS competition.",,,,,,,,,,,,,,,,,69,too_early,,reach,,69.625,180.0,30.75,8.75,72.75,4.38,36.0,117.0,4.4,7.02,11.0,-1.474613455746331,-1.3833298725786067,-0.5662526175467505,-0.8122979936485786,-1.3347834696017375,-0.30862849272365794,0.11156107571888682,0.006762707728305541,-0.07104519202392855,-0.05006473081308598,-0.7722225592544462
